RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,What is your role at your institution? - Open-Ended Response,How often do you use the  software?,How frequently do you use 's software to do the following? - Enter/maintain contacts made with Persons,How frequently do you use 's software to do the following? - Identify and proactively intervene with at-risk Persons,How frequently do you use 's software to do the following? - Track Person cohorts over time,"How frequently do you use 's software to do the following? - Produce reports on Person persistence, graduation, etc.",How frequently do you use 's software to do the following? - View enrollment data,How frequently do you use 's software to do the following? - Examine course-level outcomes,How frequently do you use 's software to do the following? - Review data in dashboards and/or strategic scorecards,"How frequently do you use 's software to do the following? - Assess Person progression through, completion of developmental/remedial program coursework","Are there other ways you use the  software not mentioned above? If so, please share those here. - Open-Ended Response","Are there ways you would like to use the  software that you do not/can not currently? If so, please share those here. - Open-Ended Response",What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Offer additional training,"What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Provide more documentation (user guides, tutorials, videos, etc.)","What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Deliver a set of standard research reports ""out of the box""","What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Organize the software into smaller, thematic components (enrollment, course completion, graduation)",What could  do to increase the number of individuals who regularly use the software at your institution? (Please rank each option from 1 - most helpful to 4 - least helpful) - Other (please specify),When was the last time you contacted  for support?,When was the last time you contacted  for support? - Please share the nature of your request for support here.,How satisfied are you with the level of customer support  provides your institution?,How satisfied are you with the level of customer support  provides your institution? - Please tell us more about your level of satisfaction with  customer support.,"When you contact , how likely are you to: - receive a timely response?","When you contact , how likely are you to: - receive feedback you can understand?","When you contact , how likely are you to: - interact with competent personnel?","When you contact , how likely are you to: - Please tell us more about your contact with .", services are completed within an acceptable timeframe. , services are completed within an acceptable timeframe.  - Why did you make this selection?,Which of the following would you like to see  offer customers?  (Check all that apply) - Sending confirmation that your email or question has been received and will be reviewed,Which of the following would you like to see  offer customers?  (Check all that apply) - Offering more methods of contacting support personnel,Which of the following would you like to see  offer customers?  (Check all that apply) - Creating a software knowledge-base,Which of the following would you like to see  offer customers?  (Check all that apply) - Providing online software demos,Which of the following would you like to see  offer customers?  (Check all that apply) - Other (please specify),Which of the following would you like to see  offer customers?  (Check all that apply) - Other (please specify),"Within the past year, have you participated in software training provided by ?",The software training provided by : - prepared me to use the product.,The software training provided by : - was conducted in a timely manner.,The software training provided by : - was a valuable use of my time.,The software training provided by : - Please share any additional comments about training in the box below.,The slides and materials presented during the software training were a helpful addition to my understanding of the product. ,The slides and materials presented during the software training were a helpful addition to my understanding of the product.  - Please tell us more about the information presented during software training.,How likely are you to recommend  to someone else?,How likely are you to recommend  to someone else? - Please tell us more about why you would or would not recommend .,"Based on your experience with , what are we doing well? What could we do to improve? - Open-Ended Response","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - Name:","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - company:","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - e-mail:","We are currently looking for stories of how companys are successfully using the  software. If you are interested in sharing your story, please provide your contact information below. - Phone:"
2785197523,44341820,8/28/2013 22:01,8/28/2013 22:05,213.135.28.227,Mark.Hudson@email.com,Mark,Hudson,,Test20,One or more times per day,Often,Often,Often,Often,Often,Sometimes,Never,Sometimes,,,2,2,2,2,,Within the last week,The speed has been an issue.,Very Satisfied,They are very willing to assist and they always address any concern.,Very Likely,Very Likely,Very Likely,,Strongly Agree,Their response is almost instant.,,,,,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,,N/A,,Very Likely,,,,,,
2784551273,44341820,8/28/2013 16:25,8/28/2013 16:36,213.135.28.228,Jennifer.Lehnen@email.com,Jennifer,Lehnen,,Test21,One or more times per day,Often,Often,Often,Often,Often,Often,Often,Sometimes,,Well right now we need some updates for our annual report that have not been done because our annual report measures are updated on a yearly basis.  But it would be nice that those changes can get done so when we input our Persons data we would be able to pull out a summary.,2,2,1 Most Helpful,1 Most Helpful,"since we work with at risk Persons we need to know exactly how many recieved GED, were enrolled in Alt Ed or not, and specifics like that.",More than 6 months ago,there was a glitch in the program or we needed something updated and its been at least 1 and half years ago and it was fixed back then.,Somewhat Satisfied,Well since we are a small dept.( 5 people) we seem to be pushed to the last as far as our concerns.,Likely,Likely,,I really cant comment on that because I am not the one that gets in contact with you,Neither Agree nor Disagree,,,,,,,,No,,,,,,,Likely,,,,,,
2782989702,44341820,8/27/2013 19:58,8/27/2013 20:12,213.135.28.229,Paula.Bagdon@email.com,Paula,Bagdon,,VP,One or more times per day,Never,Never,Often,Often,Often,Often,NA,Often,Other data-driven decision support at the company (ad hoc requests),predictive modeling/ enrollment projections by program/major; ways to integrate LMI data (like NSC),1 Most Helpful,1 Most Helpful,2,2,"Quick tutorials by user type and action (Person services/Person intervention: how to write a contact (batch/individual), how to email Persons, how to look up a group of Persons and save them as a list/criteria, how to do basic retention, how to open and export a datasheet report; institutional researchers: more powerful, mini snap-shot projects/uses;  deans/execs: how to build a dataset of interest (Person grades by course by people, Persons enrolled by campus location, Persons enrolled by meet days/times by course, etc).",Within the last week,"John Riverton is always of great support to us, whether for help with a query filter, a user access issue, or answering our questions about logic and field locations. We pJohnably contact him too much. :-)",Very Satisfied,Often more timely and knowledgeable than our own IS staff.,Very Likely,Very Likely,Very Likely,"Willing to use GoTo meeting so we can not only hear, but see and understand (or at least follow along).",Strongly Agree,,,,Creating a software knowledge-base,Providing online software demos,,,No,,,,,,,Very Likely,User friendly product that is Johnust and of high quality with excellent support and service.,Enterprise Reports Cubes to create your own templates with sums/counts for Persons selected in the Lookup and ability to share saved IDs and saved criteria with other users.,,,,
2782774944,44341820,8/27/2013 18:28,8/27/2013 18:33,213.135.28.230,Patrica.Lee@email.com,Patrica,Lee,,Test16,One or more times per month,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,,,1 Most Helpful,1 Most Helpful,2,1 Most Helpful,,Never,,,,,,,,,,,,,,,,Yes,Agree,Neither Agree nor Disagree,Agree,,Agree,,Neither Likely nor Unlikely,,,,,,
2780992361,44341820,8/26/2013 20:57,8/26/2013 20:59,213.135.28.231,Manuel.Giles@email.com,Manuel,Giles,,Test17,One or more times per week,Sometimes,NA,NA,Sometimes,Sometimes,NA,Sometimes,NA,,,1 Most Helpful,,,,,Never,,,,,,,,,,,,,,,,No,,,,,,,Neither Likely nor Unlikely,,,,,,
2780569916,44341820,8/26/2013 17:08,8/26/2013 17:12,213.135.28.232,Frank.Bowen@email.com,Frank,Bowen,,data5,One or more times per day,Never,Never,Often,Often,Often,Often,Never,Often,,predicitive analytics,2,3,1 Most Helpful,1 Most Helpful,,Within the last week,"John is always responsive, professional and precise",Very Satisfied,You guys rock!,Very Likely,Very Likely,Very Likely,Everyone is helpful,Agree,,,,,Providing online software demos,,,No,,,,,,,Very Likely,I always do and have spoken to many insitutions about it.,,,,,
2780552200,44341820,8/26/2013 16:58,8/26/2013 17:01,213.135.28.233,Donald.Perez@email.com,Donald,Perez,,Test19,One or more times per day,NA,NA,Sometimes,Often,Often,NA,NA,NA,,,3,3,3,1 Most Helpful,,Within the last week,,Very Satisfied,,Very Likely,Very Likely,Very Likely,,Strongly Disagree,,Sending confirmation that your email or question has been received and will be reviewed,,,,,,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Disagree,,Very Unlikely,,,,,,
2779972614,44341820,8/26/2013 10:05,8/26/2013 10:05,213.135.28.234,Rita.Nieman@email.com,Rita,Nieman,,Test20,A few times a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778913254,44341820,8/25/2013 2:53,8/25/2013 3:21,213.135.28.235,Mark.Balas@email.com,Mark,Balas,,Test21,One or more times per month,Never,Rarely,Often,Often,Rarely,Sometimes,Never,Rarely,More effectively manage scholarship programs that provide support services to awardees. It is so easy to follow the Person cohorts via .,I wish we could view Persons who have applied but not yet enrolled at our company.,1 Most Helpful,2,4 Least Helpful,2,"I ran a  Users Group for our company. I had a difficulty making time for it. Leading the Users Group was a challenge because 1) another department was in charge of assigning licenses, 2) it is not easy to understand the output data developed by  (am I looking at what I think I am looking at?), and 3) some licensed users provide Persons services and others just analyze data (different training is needed for different folks). I finally decided to give up because many people coming to training were not using it. As I was not in charge of assigning licenses, I decided to stop investing my time on trying to get users to use the software.",More than 6 months ago,"Just asking questions, Our IT department is officially in charge of communicating with . I think our IT department is still having a weekly meeting with .",Neither satisfied nor dissatisfied,"Again, our IT department is the official communicator with .",Likely,Likely,Very Likely,,Agree,"When I used to contact , Frank Smith was my contact. He is very responsive.",,,,Providing online software demos,,,No,,,,,,,Likely,It is an amazing product. Employees are just too busy to learn its great capabilities.,"I really wish licenses could be campus wide. We currently have 20 licenses.We selected 20 employees to get the licenses, but only half use the software actively. If we did have a campus wide licenses, I think we would have about 20 users. These individuals would have self identified themselves as interested in  and made sure they got trained.",,,,
2777769316,44341820,8/23/2013 20:34,8/23/2013 20:35,213.135.28.236,Maria.Norman@email.com,Maria,Norman,,data6,I do not use the  software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777511740,44341820,8/23/2013 18:03,8/23/2013 18:07,213.135.28.237,Johnert.Sharpe@email.com,Johnert,Sharpe,,Test22,One or more times per day,NA,NA,NA,NA,NA,NA,NA,NA,"At this point, we are still in the deployment phase, so we aren't doing any of these things regularly. We hope to be there soon!",We would love to be able to 'tag' Persons to create specific cohorts for tracking more easily.,2,2,2,4 Least Helpful,,Within the last week,"We are still in contact with our person weekly, and sometimes more than that. He is extremely helpful.",Very Satisfied,,Very Likely,Very Likely,Very Likely,,Agree,,,,,,,,Yes,Agree,Agree,Agree,,Agree,,Very Likely,,,,,,
2776508445,44341820,8/23/2013 2:51,8/23/2013 3:30,213.135.28.238,Janet.Scott@email.com,Janet,Scott,,Test23,One or more times per day,NA,Sometimes,Often,Often,Often,Often,Often,Often,Review data to identify data quality errors in our transactional/source systems.,"Office Web Components - the reports and dashboards are a little ""clunky"", require too many installation steps (especially with the scale of our implementation going institution-wide), and feel often inflexible.  Also, we need to be able to allow our users to access the software on other types of computer operating systems (macs) and web browsers.",3,1 Most Helpful,2,4 Least Helpful,,Within the last week,"We needed clarity on how different dimensions and measures worked, advising on how to create a correct filter in Person Lookup (there's no documentation at all by  on how to think about using filters, which means we've had to learn it the hard way via trial & error), and we needed to confirm that the logic of dimensions was working as appropriate to our institution.",Somewhat Dissatisfied,"Being one of 's larger clients as well as having a team with competent project management and leadership on our side (we are ready to deploy quickly), we find ourselves often slowed down by the mis-matched level of support that  has provided.  With only one systems person (who has truly been helpful and wonderful in our time of need), time and time again we have had to delay or adjust a deadline due to limited bandwidth, support, and what feels like a lack of commitment to our goals and needs.",Neither Likely nor Unlikely,Neither Likely nor Unlikely,Neither Likely nor Unlikely,"The conversations around deliverables is unstructured as well as not to the point - we often hear a defense response on why things aren't done, rather than a constructive and proactive explanation for why something may not get completed and what the solution is.  Even better would be if we knew ahead of time of the meeting whether something needs to be adjusted, but often we learn of bad news, missed deliverables, or delays too late, which puts us in a bad position to our own bosses and people we are supporting with the platform.  Additionally, we often do not have visibility into the progress of software development items requested as well as engagement/feedback (until near the end of a development cycle) on any new development items that we've asked for.  As a project manager, I am often surprised at the lack of preparedness for an agenda - I can think of 2-3 different times when there was an unstructured agenda and plan, and the expectation was that we would use the meeting time to come up with an agenda or to do some work sharing what we thought we wanted.  I think  has great potential given the large client base and experience, but when I think back to our work together throughout the last 10 months, I have mixed feelings (some satisfaction and some disappointment).",Disagree,"We are making progress and I have no doubt we will launch a platform that does fairly well.  But along the way we often had to make sacrifices to our deployment due to limited personing bandwidth and frankly, poor foresight, anticipation, and understanding from ’s end about the needs of our institution.",,,,,Other (please specify),"Please just have better project management, make your clients feel like clients, be proactive, get organized, and get ahead of your deployments.",Yes,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree," does a decent job at explaining the mechanics and navigation of the software (it could be better) but I find the trainings lacking in helping users figure out how they will use the system to answer real, relevant and complex questions.  When we planned for our researcher training (some who was there for the initial training), we spend nearly the first half day reviewing topics we had covered in the initial training.  The training design should be better differentiated and adjusted for different roles and levels.",N/A,,Neither Likely nor Unlikely,,"The aggregate reporting and Person Lookup have been immensely useful and I anticipate will be well received.  Documentation so we can easily customize the laMnoage or terms to our institution would be even better, especially since many companys cannot invest heavily in dedicated staff for training.",,,,
2775474394,44341820,8/22/2013 15:16,8/22/2013 15:31,213.135.28.239,Anne.Dent@email.com,Anne,Dent,,Test24,One or more times per day,Rarely,Rarely,Often,Often,Often,,Often,Often,,"Would appreciate the ability to retroactively track day-to-day enrollment. Essentially, I would like to answer the question: What was the Person enrollment numbers on, say, September 5, 2012?",1 Most Helpful,1 Most Helpful,3,1 Most Helpful,Reduce the arcane laMnoage and teach in a pedagogical manner.,,I am in constant contact with CCC District--specifically Nancy Chavez and Brendan Aldrich.,Neither satisfied nor dissatisfied,"Too early to tell. Once launch date comes upon us, then we will be better able to discern the level of assistance provided by ",Neither Likely nor Unlikely,Neither Likely nor Unlikely,Neither Likely nor Unlikely,Have not had direct contact with or requested something directly from .,Neither Agree nor Disagree,,,,Creating a software knowledge-base,,Other (please specify),"A more refined SEARCHING capability in the Dictionary feature, where relatively simple key words (e.g., size of class) are inserted and the relevant measure, dimension, and template are presented and defined.",Yes,Agree,Strongly Disagree,Strongly Agree,,Neither Agree nor Disagree,,Likely,,,,,,
2775365907,44341820,8/22/2013 14:21,8/22/2013 15:06,213.135.28.240,Edgar.Scott@email.com,Edgar,Scott,,VP,One or more times per day,Never,Never,Often,Often,Often,Sometimes,Sometimes,Sometimes,Person Queuing,,1 Most Helpful,3,2,4 Least Helpful,,Within the last week,We do not have the executive module and I needed John to share the Person Terms template since I had mistakenly saved the original version as something else.,Very Satisfied,John is VERY helpful and very available.,Very Likely,Very Likely,Very Likely,,Strongly Agree,,,,Creating a software knowledge-base,,,,Yes,Agree,Strongly Agree,Strongly Agree,,Strongly Disagree,,Very Likely,,,,,,
2774405066,44341820,8/21/2013 22:32,8/21/2013 22:39,213.135.28.241,Daniel.Maeda@email.com,Daniel,Maeda,,Test18,One or more times per month,Never,Never,Often,Often,Often,Often,Rarely,Sometimes,"I am just getting started in the use of the program.  I am needing some more support, and my wonderful PSAs help, but I'm wondering if you have ""how-to's"" available for my remedial ability!  When I succeed, I really feel like a million.  I don't think I'm even scratching the surface of what the program can do for me.",,1 Most Helpful,1 Most Helpful,1 Most Helpful,1 Most Helpful,,Never,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Agree,Agree,"I needed more practice, but got involved in other ""fires"" and did not spend the time to use it immediately after training. The training and the trainer were awesome!!!  I am fully accountable for not being a power user already!",Strongly Disagree,,Very Likely,,"I am not the best one to give an opinion.  I am just grateful that we have elected to use , and I believe that I will have additional time and support from my colleages to use the product this year.  Our huge organization transition last year left little time for sel-learning.",,,,
2774246435,44341820,8/21/2013 20:45,8/21/2013 20:45,213.135.28.242,Doreen.Dean@email.com,Doreen,Dean,,Test19,One or more times per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774169829,44341820,8/21/2013 20:03,8/21/2013 20:08,213.135.28.243,Virginia.Sharpe@email.com,Virginia,Sharpe,,data6,One or more times per day,Often,Sometimes,Often,Often,Sometimes,Rarely,Never,NA,,,1 Most Helpful,1 Most Helpful,1 Most Helpful,1 Most Helpful,,Between 2-6 months ago,,Somewhat Satisfied,,Very Unlikely,Very Likely,Very Likely,,Neither Agree nor Disagree,,Sending confirmation that your email or question has been received and will be reviewed,,,,,,No,,,,,,,Very Likely,,,,,,
2774097536,44341820,8/21/2013 19:24,8/21/2013 19:27,213.135.28.244,Elizabeth.Zuniga@email.com,Elizabeth,Zuniga,,Test22,One or more times per day,NA,NA,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,1 Most Helpful,1 Most Helpful,1 Most Helpful,4 Least Helpful,,Withing the last month,,Very Satisfied,,Very Likely,Very Likely,Very Likely,,Agree,,,,,Providing online software demos,,,No,,,,,,,Neither Likely nor Unlikely,,,,,,
2774062284,44341820,8/21/2013 19:05,8/21/2013 19:11,213.135.28.245,Paul.Anderson@email.com,Paul,Anderson,,Test23,A few times a year,Never,Never,Never,Never,Often,NA,NA,Never,,,3,1 Most Helpful,4 Least Helpful,2,,Between 2-6 months ago,,Very Satisfied,,Very Likely,Very Likely,Very Likely,,Strongly Agree,,,,Creating a software knowledge-base,Providing online software demos,,,Yes,Agree,Agree,Agree,,Agree,,Neither Likely nor Unlikely,"Its complexities has overwhelmed our users, to some degree, and it takes a lot of digging to figure out how we want to use it.",Customer support is great.  Putting the product online is great.  The complexity of the program and the cost is somewhat prohibitive to a small company.,,,,
2773899036,44341820,8/21/2013 17:39,8/21/2013 17:58,213.135.28.246,Larry.Camacho@email.com,Larry,Camacho,,Test24,One or more times per day,NA,NA,Often,Often,Often,Often,NA,Often,,,4 Least Helpful,3,1 Most Helpful,2,,Within the last week,checking on status of ongoing project,Very Satisfied,It's great!  Questions get answered quickly.  My ideas are used to help create/modify reports.  I feel like there's a good level of respect between  and their customers.,Very Likely,Very Likely,Very Likely,"I can email my person anytime, and get a response within a day.  I also email Frank Smith fairly often.  It's great to have a support team that really cares and helps.",Strongly Agree,,,,Creating a software knowledge-base,,Other (please specify),"A users group would be nice, but I am pleased that you help us connect with people in situations similar to our own.",No,,,,,,,Very Likely,"It saves huge amounts of time!  Our ERP is not user-friendly to non-IT users, so Zogo really fills a big gap for us.  The ability to export to Excel is fantastic for sharing information, or capturing point-in-time data.","So far, nearly everything is being done well!  I don't have any suggestions right now, but I'm not shy about sharing them as I get them.",,,,
2773875353,44341820,8/21/2013 17:27,8/21/2013 17:33,213.135.28.247,Helen.Garrett@email.com,Helen,Garrett,,data7,One or more times per month,NA,NA,NA,NA,Sometimes,Sometimes,NA,NA,Checking for bad data.  Producing data that is not available by other means.,"If I indentify a cohort, I would like to see the cohort carried through the data examination process.  Currently, it throws out Persons that do not meet the wanted criteria.  I'd like them to stay with a null in the answer.",1 Most Helpful,3,3,1 Most Helpful,,Within the last week,,Very Satisfied,,Likely,Likely,Likely,,Strongly Agree,,Sending confirmation that your email or question has been received and will be reviewed,,,,,,Yes,Agree,Agree,Agree,,Agree,,Likely,,,,,,
2773868041,44341820,8/21/2013 17:23,8/21/2013 17:31,213.135.28.248,Agustin.Moore@email.com,Agustin,Moore,,Test25,One or more times per day,Often,Often,Often,Often,Often,Often,Rarely,Often,,,1 Most Helpful,1 Most Helpful,1 Most Helpful,1 Most Helpful,,Within the last week,user issues,Somewhat Satisfied,The level of customer service has decreased with the increase of more departments utilizing ,Likely,Very Likely,Very Likely,The time response is not as immediate as it is used to be.,Agree,,Sending confirmation that your email or question has been received and will be reviewed,Offering more methods of contacting support personnel,Creating a software knowledge-base,,Other (please specify),Perhaps utilizing outlook IM for speedier communication,No,,,,,,,Likely,"I do believe  offers a very efficient and versatile product that can greatly enhance monitor, tracking, and reporting on the Person success/outcome.",,,,,
2773775193,44341820,8/21/2013 16:31,8/21/2013 16:35,213.135.28.249,Adrienne.Milne@email.com,Adrienne,Milne,,Test26,A few times a year,NA,NA,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,3,1 Most Helpful,2,2,,Between 2-6 months ago,,Very Satisfied,,Likely,Likely,Likely,,Agree,,,,Creating a software knowledge-base,,,,Yes,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,,Neither Agree nor Disagree,,Likely,,,,,,
2773763678,44341820,8/21/2013 16:25,8/21/2013 16:25,213.135.28.250,Thelma.Aliberti@email.com,Thelma,Aliberti,,Test27,One or more times per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773735660,44341820,8/21/2013 16:10,8/21/2013 16:11,213.135.28.251,Nikki.Holzinger@email.com,Nikki,Holzinger,,VP,One or more times per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773727676,44341820,8/21/2013 16:06,8/21/2013 16:21,213.135.28.252,Justin.Bennett@email.com,Justin,Bennett,,Test20,One or more times per week,NA,NA,Never,Never,Sometimes,Sometimes,Never,Sometimes,,"Some of the data is unreliable and the issues have not been fixed.  Demographic data using the old fields not the new, doesn't pull complete data for Persons who have attended longer than five years.  If you use the table filters you have to remember to put in the term on another filter.  This can give you bad data if you forget or you're new.  Also, listing each pJohnationary status or course separately is cumbersome.",3,4 Least Helpful,1 Most Helpful,2,,Never,,,,,,,,,,,,,,,,No,,,,,,,Likely,"Need better data.  Other than that, I think it's a great tool.","In the table filters, make it possible to pull by category (PJohnation, all DMAT courses, etc.)",,,,
2773704886,44341820,8/21/2013 15:52,8/21/2013 17:45,213.135.28.253,Dennis.Welch@email.com,Dennis,Welch,,Test21,One or more times per day,Often,Often,Often,Often,Often,Often,Often,Often,,,1 Most Helpful,1 Most Helpful,2,3,,Within the last week,"ID issues, downloading issues, Person reporting issues",Somewhat Dissatisfied,We are currently using a different version from the institution and the response time for questions related to that version are not in a timely manner as in the past.,Likely,Very Likely,Very Likely,,Disagree,Not consistent with response time.,Sending confirmation that your email or question has been received and will be reviewed,Offering more methods of contacting support personnel,,,,,No,,,,,,,Likely,,,,,,
2773694012,44341820,8/21/2013 15:49,8/21/2013 15:49,213.135.28.254,Rena.Ball@email.com,Rena,Ball,,data7,I do not use the  software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773680624,44341820,8/21/2013 15:41,8/21/2013 15:43,213.135.28.255,Willie.Balch@email.com,Willie,Balch,,Test25,One or more times per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773650008,44341820,8/21/2013 15:26,8/21/2013 15:33,213.135.28.256,Diana.Johnb@email.com,Diana,Johnb,,Test26,A few times a year,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,,,3,1 Most Helpful,2,4 Least Helpful,,Never,,,,,,,,,,,,,,,,Yes,Agree,Agree,Agree,,Agree,,Likely,,"Although I have had previous training, I have not used the product much.  However, we are beginning to use it for our advising process and I will be very involved in the use, so I think that my answers may be different in about six months.",,,,
2773635981,44341820,8/21/2013 14:46,8/21/2013 15:20,213.135.28.257,Andrew.Doyle@email.com,Andrew,Doyle,,Test27,One or more times per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773604551,44341820,8/21/2013 15:03,8/21/2013 15:08,213.135.28.258,John.Estes@email.com,John,Estes,,data8,One or more times per week,Never,Never,Often,Often,Often,Often,NA,Sometimes,"Our system is still being built. Not all functionality for all content areas is ""there"" as of yet.",Would like to be able to request National Person Clearinghouse data through the system with identified cohorts,1 Most Helpful,2,2,2,,Never,we have a point person on campus who is responsible for  contacts,,,,,,,,,,,,,,,Yes,Agree,Agree,Agree,,Agree,,Very Likely,,,,,,
2773589460,44341820,8/21/2013 14:56,8/21/2013 15:06,213.135.28.259,Sandra.Garett@email.com,Sandra,Garett,,Test28,One or more times per day,NA,NA,Sometimes,Often,Often,NA,NA,NA,"Total Enrollment, Success, and Completion rates for indiviual instructors","I would like to be able to have a filter for the dates and reasons for dropped Persons.  We hold our instructors accountable for their overall number of drops, and have to get that data from our IT people becuase  lacks these filters",1 Most Helpful,1 Most Helpful,1 Most Helpful,1 Most Helpful,,Within the last week,"I have not contacted  myself, but our IR person has weekly meetings with John",Very Satisfied,,Very Likely,Very Likely,Very Likely,John has been wonderful and works well with our staff,Agree,,,,Creating a software knowledge-base,Providing online software demos,,,No,,,,,,,Very Likely,Odessa company loves .  It enables us to easily retrieve data from an otherwise unfriendly system  ( Ellusion),,,,,
2773586784,44341820,8/21/2013 14:55,8/21/2013 15:15,213.135.28.260,Francie.Abel@email.com,Francie,Abel,,Test29,One or more times per day,,,,,,,Often,,I change the index records daily for the dashboard and some reports here.,I wish some more things were automatically happening but I think there are reasons why they don't yet.,,,,,"The question here is worded hard to answer, wouldn't you be asking this of those who are already using it.  Perhaps add another question to get at (In order to increase the number of individuals who could regularly use the software at your institution, what could  do better?       But to answer how I think you may have wanted to ask:  To increase the useability for the number of individuals who regularly use...? Offer more training--1. MOST helpful; Provide more document(user guides) 1. Most helpful; Deliver a set of std rsch rpts--4 Least helpful ---I have NO opinion here, seems subjective...some institutions like to fashion their own designs===some NEED a hand; Organize software into smaller, themati....---4 least helpful---think again some like to make their own up.",Between 2-6 months ago,"Once a few months ago I think.  That was when I was given the access to the training page---that no one actually here said anything about.  I've been using it to study on my own for using the warehouse.  Thank you, it has really helped.  I'm in a very quiet department and busy people all around.  I like to be able to learn it on my own much as possible and only take a question or two to the rest of the dept here.",Very Satisfied,I hear the help that others get from you that rely on contact from you continuously to get their jobs done.,Likely,Likely,Likely,Very nice to a newb.,Agree,I had the information about the training the same day I asked.,,,,,Other (please specify),"Guide book would be good.  If you tell me you have one already--even better.   I don't know if online demos are secure yet.  Its a good product, don't let the world have access till you protect it from being intentionally modified by outside hackers.......",Yes,Agree,Agree,Agree,,Agree,it was about the scorecard additions to our set.,Very Likely,"I already have to a few.  IR has a Linkedin group and I've been talking in there about Datawarehouse to institutions that are setting up scorecards and dashboards like they did here.  The word is getting out, they are looking for another component can't remember I think it was something to replace Oracle though and I didn't think that was your experience at all.","I think what you are doing well is moving along with the customers maturity in what they see as what they need and can handle.  If there was too much thrown at them all at once it would be overwhelming.  I suspect there is more you can do than we access and that is great.  There will be others who will challenge you more.    I don't feel a need to share my story but you can contact me if you wanted to, I gave you my cell phone number below.",,,,
2773582277,44341820,8/21/2013 14:52,8/21/2013 14:57,213.135.28.261,Angela.Morrone@email.com,Angela,Morrone,,Test30,One or more times per day,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,,,3,1 Most Helpful,3,3,,Within the last week,,Very Satisfied,,Very Likely,Very Likely,Very Likely,,Strongly Agree,,,,,Providing online software demos,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,,Very Likely,,,,,,
2773576642,44341820,8/21/2013 14:49,8/21/2013 15:24,213.135.28.262,Judith.Hathcock@email.com,Judith,Hathcock,,VP,One or more times per week,Never,Never,Never,Sometimes,Often,Sometimes,Never,Rarely,,,4 Least Helpful,4 Least Helpful,3,2,,Between 2-6 months ago,I needed to be able to create a report that I could schedule to run regularly and have it emailed to specific people in our institution. I called support for help.,Very Satisfied,They are always pretty timely with their response and can usually solve the issue quickly. I'm made to feel like we're valued as customers.,Very Likely,Very Likely,Very Likely,,Strongly Agree,"In my experience in the last two years,  response has always been very good.",Sending confirmation that your email or question has been received and will be reviewed,,Creating a software knowledge-base,Providing online software demos,,,No,,,,,,,Likely,I feel the company truly values its customers and does whatever it takes to keep them happy.,"Doing well:  1. Customer support  2. Regularly asking customers how the software can be improved.   3. Proactively improving the software    What to improve:  1. More affordable licensing options for us ""cash strapped"" company.",,,,
